aug,img_size,model,class,precision,recall,f1,support
aug_light,160,efficientnet_b0,sarcoptes_scabiei,1.0,0.65,0.7878787878787878,
aug_light,192,efficientnet_b0,sarcoptes_scabiei,0.9375,0.75,0.8333333333333334,
aug_light,224,efficientnet_b0,sarcoptes_scabiei,0.9375,0.75,0.8333333333333334,
aug_light,256,efficientnet_b0,sarcoptes_scabiei,0.9411764705882353,0.8,0.8648648648648649,
aug_light,299,efficientnet_b0,sarcoptes_scabiei,0.9444444444444444,0.85,0.8947368421052632,
aug_light,32,efficientnet_b0,tinea_corporis,0.42857142857142855,0.6,0.5,
aug_light,40,efficientnet_b0,tinea_corporis,0.4838709677419355,0.75,0.5882352941176471,
aug_light,48,efficientnet_b0,tinea_corporis,0.5217391304347826,0.6,0.5581395348837209,
aug_light,56,efficientnet_b0,tinea_corporis,0.4375,0.7,0.5384615384615384,
aug_light,64,efficientnet_b0,tinea_corporis,0.5238095238095238,0.55,0.5365853658536586,
aug_light,80,efficientnet_b0,tinea_corporis,0.5238095238095238,0.55,0.5365853658536586,
aug_light,96,efficientnet_b0,tinea_corporis,0.5714285714285714,0.6,0.5853658536585366,
aug_light,112,efficientnet_b0,tinea_corporis,0.5454545454545454,0.6,0.5714285714285714,
aug_light,128,efficientnet_b0,tinea_corporis,0.5714285714285714,0.6,0.5853658536585366,
aug_light,160,efficientnet_b0,tinea_corporis,0.6363636363636364,0.7,0.6666666666666666,
aug_light,192,efficientnet_b0,tinea_corporis,0.6842105263157895,0.65,0.6666666666666666,
aug_light,224,efficientnet_b0,tinea_corporis,0.6666666666666666,0.6,0.631578947368421,
aug_light,256,efficientnet_b0,tinea_corporis,0.8235294117647058,0.7,0.7567567567567568,
aug_light,299,efficientnet_b0,tinea_corporis,0.8333333333333334,0.75,0.7894736842105263,
aug_light,32,efficientnet_b0,warts,0.5833333333333334,0.35,0.4375,
aug_light,40,efficientnet_b0,warts,0.75,0.3,0.42857142857142855,
aug_light,48,efficientnet_b0,warts,0.8461538461538461,0.55,0.6666666666666666,
aug_light,56,efficientnet_b0,warts,0.75,0.45,0.5625,
aug_light,64,efficientnet_b0,warts,1.0,0.6,0.75,
aug_light,80,efficientnet_b0,warts,0.8235294117647058,0.7,0.7567567567567568,
aug_light,96,efficientnet_b0,warts,0.8666666666666667,0.65,0.7428571428571429,
aug_light,112,efficientnet_b0,warts,0.7777777777777778,0.7,0.7368421052631579,
aug_light,128,efficientnet_b0,warts,0.9411764705882353,0.8,0.8648648648648649,
aug_light,160,efficientnet_b0,warts,0.8823529411764706,0.75,0.8108108108108109,
aug_light,192,efficientnet_b0,warts,0.9473684210526315,0.9,0.9230769230769231,
aug_light,224,efficientnet_b0,warts,0.8333333333333334,0.75,0.7894736842105263,
aug_light,256,efficientnet_b0,warts,1.0,0.85,0.918918918918919,
aug_light,299,efficientnet_b0,warts,1.0,0.85,0.918918918918919,
aug_light,80,inception_v3,atopic_dermatitis,0.6129032258064516,0.95,0.7450980392156863,
aug_light,96,inception_v3,atopic_dermatitis,0.6206896551724138,0.9,0.7346938775510204,
aug_light,112,inception_v3,atopic_dermatitis,0.6190476190476191,0.65,0.6341463414634146,
aug_light,128,inception_v3,atopic_dermatitis,0.65,0.65,0.65,
aug_light,160,inception_v3,atopic_dermatitis,0.6153846153846154,0.8,0.6956521739130435,
aug_light,192,inception_v3,atopic_dermatitis,0.6551724137931034,0.95,0.7755102040816326,
aug_light,224,inception_v3,atopic_dermatitis,0.7142857142857143,1.0,0.8333333333333334,
aug_light,256,inception_v3,atopic_dermatitis,0.6538461538461539,0.85,0.7391304347826086,
aug_light,299,inception_v3,atopic_dermatitis,0.72,0.9,0.8,
aug_light,80,inception_v3,impetigo,1.0,1.0,1.0,
aug_light,96,inception_v3,impetigo,0.9090909090909091,1.0,0.9523809523809523,
