InputSize,Model,Aug,Class,precision,recall,f1,support
96,densenet121,noaug,impetigo,0.9090909090909091,1.0,0.9523809523809523,20
112,densenet121,aug_light,impetigo,1.0,1.0,1.0,20
112,densenet121,noaug,impetigo,0.9523809523809523,1.0,0.975609756097561,20
128,densenet121,aug_light,impetigo,1.0,1.0,1.0,20
128,densenet121,noaug,impetigo,0.9090909090909091,1.0,0.9523809523809523,20
160,densenet121,aug_light,impetigo,1.0,1.0,1.0,20
160,densenet121,noaug,impetigo,0.9090909090909091,1.0,0.9523809523809523,20
192,densenet121,aug_light,impetigo,1.0,1.0,1.0,20
192,densenet121,noaug,impetigo,1.0,1.0,1.0,20
224,densenet121,aug_light,impetigo,1.0,1.0,1.0,20
224,densenet121,noaug,impetigo,0.9523809523809523,1.0,0.975609756097561,20
256,densenet121,aug_light,impetigo,1.0,1.0,1.0,20
256,densenet121,noaug,impetigo,1.0,1.0,1.0,20
299,densenet121,aug_light,impetigo,1.0,1.0,1.0,20
299,densenet121,noaug,impetigo,1.0,1.0,1.0,20
32,efficientnet_b0,aug_light,impetigo,1.0,1.0,1.0,20
32,efficientnet_b0,noaug,impetigo,0.9090909090909091,1.0,0.9523809523809523,20
40,efficientnet_b0,aug_light,impetigo,0.9523809523809523,1.0,0.975609756097561,20
40,efficientnet_b0,noaug,impetigo,0.8,1.0,0.8888888888888888,20
48,efficientnet_b0,aug_light,impetigo,0.9090909090909091,1.0,0.9523809523809523,20
48,efficientnet_b0,noaug,impetigo,0.9523809523809523,1.0,0.975609756097561,20
56,efficientnet_b0,aug_light,impetigo,0.9523809523809523,1.0,0.975609756097561,20
56,efficientnet_b0,noaug,impetigo,0.9523809523809523,1.0,0.975609756097561,20
64,efficientnet_b0,aug_light,impetigo,0.9523809523809523,1.0,0.975609756097561,20
64,efficientnet_b0,noaug,impetigo,0.8695652173913043,1.0,0.9302325581395349,20
80,efficientnet_b0,aug_light,impetigo,1.0,1.0,1.0,20
80,efficientnet_b0,noaug,impetigo,0.9523809523809523,1.0,0.975609756097561,20
96,efficientnet_b0,aug_light,impetigo,1.0,1.0,1.0,20
96,efficientnet_b0,noaug,impetigo,1.0,1.0,1.0,20
112,efficientnet_b0,aug_light,impetigo,1.0,1.0,1.0,20
112,efficientnet_b0,noaug,impetigo,1.0,1.0,1.0,20
128,efficientnet_b0,aug_light,impetigo,1.0,1.0,1.0,20
128,efficientnet_b0,noaug,impetigo,1.0,1.0,1.0,20
160,efficientnet_b0,aug_light,impetigo,1.0,1.0,1.0,20
160,efficientnet_b0,noaug,impetigo,1.0,1.0,1.0,20
192,efficientnet_b0,aug_light,impetigo,1.0,1.0,1.0,20
192,efficientnet_b0,noaug,impetigo,1.0,1.0,1.0,20
224,efficientnet_b0,aug_light,impetigo,1.0,1.0,1.0,20
224,efficientnet_b0,noaug,impetigo,0.9523809523809523,1.0,0.975609756097561,20
256,efficientnet_b0,aug_light,impetigo,1.0,1.0,1.0,20
256,efficientnet_b0,noaug,impetigo,0.9523809523809523,1.0,0.975609756097561,20
299,efficientnet_b0,aug_light,impetigo,1.0,1.0,1.0,20
299,efficientnet_b0,noaug,impetigo,1.0,1.0,1.0,20
80,inception_v3,aug_light,impetigo,1.0,1.0,1.0,20
80,inception_v3,noaug,impetigo,0.8333333333333334,1.0,0.9090909090909091,20
96,inception_v3,aug_light,impetigo,0.9090909090909091,1.0,0.9523809523809523,20
96,inception_v3,noaug,impetigo,0.9090909090909091,1.0,0.9523809523809523,20
112,inception_v3,aug_light,impetigo,0.9090909090909091,1.0,0.9523809523809523,20
